,No Response,American Indian,Asian,Black,Mexican,Puerto Rican,Other Hispanic,White,Other
No Response,0.199574,0.011791,0.074617,0.164506,0.073225,0.032066,0.105465,0.256048,0.082710
American Indian,0.049880,0.579376,0.044604,0.051559,0.010312,0.002398,0.010312,0.203118,0.048441
Asian,0.019783,0.001649,0.933570,0.001563,0.000846,0.000373,0.001075,0.008243,0.032899
Black,0.027464,0.001942,0.000876,0.944375,0.000401,0.000654,0.001362,0.002301,0.020624
Mexican,0.022591,0.000963,0.000767,0.001140,0.823810,0.000786,0.136119,0.007825,0.005997
Puerto Rican,0.041401,0.000710,0.001341,0.006624,0.002602,0.858686,0.060957,0.012933,0.014746
Other Hispanic,0.029082,0.000931,0.000779,0.002201,0.109336,0.009987,0.823631,0.012967,0.011088
White,0.011380,0.002631,0.001719,0.000739,0.001944,0.000910,0.004881,0.964289,0.011506
Other,0.063718,0.008639,0.087936,0.100450,0.014250,0.008675,0.036215,0.132863,0.547253
